certificate_id,tag_id
7,1
7,5
20,11
20,11
24,21
24,19
25,15
25,16
25,17
26,18
26,19
27,21
27,18
27,19
28,21
28,19
29,21
29,19
30,11
30,23
31,24
31,25
31,26
32,9
32,27
32,7
33,9
33,27
33,7
33,8
34,9
34,27
34,7
34,8
35,9
35,7
35,8
35,12
39,10
39,9
39,7
52,9
52,8
52,6
66,7
66,9
66,14
69,9
69,54
69,19
70,18
70,51
70,52
71,18
71,51
71,52
72,18
72,51
72,53
73,18
73,55
73,53
74,18
74,56
74,53
77,18
77,66
77,53
84,23
84,53
84,69
86,70
86,25
86,53
87,70
87,25
87,53
88,70
88,75
90,362
90,1086
91,987
91,632
92,748
92,929
93,190
93,117
94,8
94,629
95,670
95,910
96,98
96,764
97,736
97,957
98,546
98,190
99,614
99,120
100,358
100,713
101,171
101,838
102,733
102,264
103,1035
103,463
104,641
104,869
105,611
105,408
106,69
106,457
107,882
107,210
108,270
108,1007
109,740
109,869
110,158
110,328
111,768
111,728
112,455
112,903
113,898
113,777
114,779
114,95
115,791
115,666
116,837
116,722
117,499
117,822
118,1014
118,558
119,939
119,326
120,342
120,982
121,841
121,475
122,361
122,468
123,856
123,9
124,115
124,239
125,984
125,739
126,283
126,933
127,967
127,346
128,763
128,581
129,305
129,467
130,416
130,864
131,621
131,232
132,390
132,915
133,234
133,704
134,15
134,285
135,204
135,501
136,163
136,69
137,320
137,782
138,286
138,922
139,322
139,819
140,740
140,852
141,206
141,209
142,142
142,265
143,185
143,133
144,490
144,691
145,860
145,657
146,778
146,307
147,352
147,687
148,946
148,449
149,128
149,649
150,719
150,815
151,639
151,504
152,995
152,519
153,82
153,139
154,663
154,861
155,752
155,154
156,271
156,478
157,447
157,722
158,781
158,20
159,639
159,317
160,165
160,692
161,993
161,1006
162,618
162,522
163,124
163,191
164,133
164,141
165,354
165,868
166,455
166,756
167,847
167,870
168,684
168,566
169,547
169,115
170,658
170,155
171,143
171,127
172,1031
172,399
173,785
173,719
174,987
174,108
175,807
175,982
176,813
176,692
177,333
177,322
178,284
178,734
179,774
179,803
180,95
180,585
181,497
181,276
182,896
182,948
183,840
183,564
184,892
184,175
185,1068
185,539
186,112
186,634
187,794
187,260
188,900
188,1017
189,541
189,1075
190,579
190,399
191,750
191,107
192,321
192,860
193,394
193,621
194,977
194,502
195,187
195,191
196,380
196,673
197,760
197,609
198,740
198,77
199,143
199,141
200,426
200,621
201,325
201,1085
202,931
202,315
203,626
203,547
204,618
204,297
205,202
205,1051
206,1039
206,991
207,661
207,494
208,780
208,131
209,318
209,440
210,306
210,834
211,516
211,786
212,794
212,662
213,297
213,629
214,240
214,529
215,716
215,12
216,8
216,1079
217,411
217,691
218,998
218,405
219,90
219,118
220,117
220,293
221,569
221,140
222,1066
222,169
223,811
223,1010
224,668
224,814
225,1034
225,786
226,225
226,312
227,718
227,239
228,108
228,185
229,1045
229,610
230,791
230,168
231,740
231,112
232,925
232,427
233,912
233,308
234,245
234,699
235,405
235,528
236,265
236,616
237,994
237,1014
238,771
238,534
239,528
239,1016
240,596
240,694
241,147
241,214
242,356
242,729
243,440
243,729
244,146
244,242
245,645
245,791
246,638
246,427
247,900
247,514
248,636
248,429
249,1030
249,895
250,222
250,912
251,159
251,130
252,917
252,941
253,855
253,861
254,841
254,695
255,1059
255,812
256,690
256,509
257,69
257,14
258,973
258,416
259,583
259,21
260,553
260,893
261,774
261,499
262,213
262,294
263,273
263,389
264,338
264,99
265,231
265,885
266,829
266,129
267,825
267,961
268,446
268,615
269,255
269,284
270,400
270,869
271,306
271,474
272,19
272,189
273,806
273,363
274,109
274,288
275,562
275,734
276,169
276,164
277,107
277,662
278,948
278,713
279,341
279,114
280,134
280,1001
281,1048
281,263
282,1067
282,484
283,473
283,743
284,582
284,793
285,724
285,567
286,811
286,249
287,365
287,388
288,811
288,948
289,1058
289,323
290,134
290,277
291,426
291,967
292,963
292,150
293,276
293,97
294,203
294,586
295,388
295,911
296,843
296,416
297,439
297,748
298,682
298,713
299,477
299,179
300,510
300,220
301,926
301,582
302,946
302,705
303,929
303,777
304,584
304,380
305,1049
305,688
306,473
306,957
307,926
307,1088
308,904
308,284
309,55
309,197
310,1026
310,757
311,672
311,194
312,282
312,842
313,254
313,450
314,419
314,728
315,401
315,72
316,595
316,682
317,840
317,457
318,884
318,989
319,732
319,481
320,864
320,505
321,1061
321,150
322,431
322,458
323,613
323,291
324,621
324,691
325,835
325,130
326,877
326,951
327,983
327,1014
328,731
328,1014
329,947
329,576
330,542
330,445
331,1086
331,777
332,896
332,438
333,848
333,779
334,978
334,358
335,397
335,667
336,897
336,228
337,513
337,617
338,817
338,894
339,709
339,1038
340,14
340,197
341,1008
341,142
342,623
342,996
343,734
343,514
344,24
344,791
345,684
345,191
346,225
346,430
347,901
347,506
348,932
348,655
349,725
349,80
350,373
350,926
351,462
351,643
352,229
352,654
353,176
353,481
354,108
354,990
355,507
355,152
356,396
356,851
357,325
357,5
358,307
358,303
359,215
359,876
360,200
360,551
361,372
361,561
362,925
362,150
363,407
363,265
364,133
364,376
365,238
365,727
366,940
366,894
367,618
367,822
